0 1 2 3 4 5 6 7 8 9 10 
1  55 52 52 0 61 0 0 0 0 0  
2  0 0 51 0 61 39 0 49 0 0
3  41 0 0 0 0 0 64 79 67 0
4  54 0 0 70 82 0 59 0 0 0
5  60 50 72 0 0 0 0 0 83 0
6  0 0 79 64 0 85 57 0 0 0
7  0 71 0 0 67 48 54 0 0 0
8  65 0 43 0 61 42 0 0 0 0
9  0 41 0 0 62 0 65 0 58 0
10 53 53 56 0 0 0 0 61 0 0
11 0 0 0 56 68 0 44 78 0 0
13 44 65 0 0 50 0 0 58 0 0
14 0 0 60 71 48 0 63 0 0 0
15 0 0 50 68 0 0 46 0 52 0
17 51 58 0 0 58 0 65 0 0 0
18 0 66 0 0 0 0 60 0 61 65
20 0 0 56 0 78 0 59 54 0 0
21 49 0 0 0 66 0 68 0 66 0
22 90 0 0 0 91 0 0 90 87 0
23 0 57 0 0 0 0 53 69 56 0
24 0 53 73 51 0 0 0 81 0 0
25 63 0 67 0 0 74 56 0 0 0
26 61 44 0 0 60 0 0 0 0 53
27 0 64 0 0 76 0 0 67 66 0
28 0 90 0 84 0 0 82 0 85 0
29 0 0 54 61 64 0 0 0 0 49
30 55 0 50 0 0 0 0 60 62 0
31 0 0 57 66 66 0 0 58 0 0
32 0 0 0 0 65 36 0 56 56 0
33 0 0 0 85 0 0 69 0 72 77
34 0 0 0 72 0 64 0 85 63 0
35 42 0 0 0 0 34 45 62 0 0
36 43 0 57 54 0 0 0 54 0 0
37 0 63 0 0 67 0 57 62 0 0
38 47 0 0 0 46 0 47 0 47 0
39 70 0 59 0 0 0 0 77 65 0
40 47 50 64 0 0 0 51 0 0 0
41 62 0 0 0 76 0 61 0 71 0
42 47 0 48 42 0 39 0 0 0 0
43 67 0 0 52 0 0 0 80 73 0
44 70 0 0 51 66 0 0 53 0 0
45 0 0 0 63 0 60 62 0 48 0
46 0 0 70 65 0 53 0 0 65 0
47 0 62 69 78 0 0 50 0 0 0
48 0 0 90 83 0 0 72 0 91 0
49 0 63 0 86 66 0 0 0 70 0
50 0 73 66 0 0 0 61 0 65 0
51 52 58 0 0 0 0 0 66 64 0
52 0 0 61 0 62 0 60 0 42 0
53 0 0 60 0 55 0 51 0 0 60
54 0 54 71 0 0 0 47 0 65 0
56 49 0 0 0 40 0 0 60 71 0
58 76 0 0 0 0 0 70 68 70 0
60 0 61 0 55 0 0 0 65 79 0
61 0 73 0 0 0 72 0 63 83 0
63 82 0 0 77 70 0 0 57 0 0
65 53 0 53 68 0 0 59 0 0 0
66 0 0 80 0 0 76 0 76 0 69
68 0 0 0 77 0 90 64 0 79 0
69 0 0 69 82 0 57 0 0 78 0
71 0 0 0 73 0 65 49 60 0 0
