A1 0.0308 0.018 0.119 0.0149
A2 0.3333 0.107 0.148 0.3492
A3 0.0204 0.019 0.101 0.0176
A9 0.3037 0.279 0.156 0.1414
A10 0.0409 0.018 0.039 0.0313
A11 0.1354 0.422 0.126 0.2977
A28 0 0.018 0.083 0.0094
A30 0.0413 0 0 0.0217
A31 0.0518 0.037 0.022 0.0121
A32 0 0.019 0.039 0.0013
A33 0 0.067 0.083 0.0608
B5 0.2828 0.118 0.134 0.0825
B7 0 0.019 0.08 0.0244
B8 0.0102 0.0118 0.045 0.0094
B12 0.0102 0.037 0.066 0.0121
B13 0.0102 0.077 0.006 0.065
B14 0 0 0.006 0.0013
B15 0.1923 0.254 0.096 0.1092
B18 0.005 0.028 0.022 0
B27 0.1067 0 0.026 0.0204
B35 0.0626 0.057 0.148 0.0342
B37 0.0102 0.018 0.009 0.0067
B38 0.0465 0.047 0.003 0.0015
B39 0.0102 0 0.009 0.0176
B46 0.0102 0.009 0 0.1813
B48 0.0572 0.15 0.003 0.0108
B50 0.0102 0.018 0.037 0
B53 0.005 0 0.006 0
B54 0.0153 0 0 0.0176
B55 0.0572 0.028 0.026 0.0217
B56 0.0102 0.009 0.006 0.004
B57 0.005 0.018 0.039 0.0341
B58 0 0.067 0.033 0.0139
B60 0.0626 0.028 0.022 0.0723
B61 0.0899 0 0.083 0.108
B70 0.005 0 0.008 0
C1 0.0899 0.037 0.023 0.1716
C2 0.0204 0 0.073 0.0397
C3 0.1798 0.107 0.083 0.3269
C4 0.1651 0.077 0.134 0.0495
C5 0 0.009 0.016 0.0054
C6 0.0256 0.245 0.045 0.0081
C7 0.1712 0.218 0.119 0.1152
C8 0.005 0 0.004 0.0027
