enrl_tot,teachers,calw_pct,meal_pct,computer,comp_stu,expn_stu,str,avginc,el_pct,class,testscr
1358,65,14.7903,80.8683,178,0.13107511,4897.068,20.892307,12.062,30.633286,0,636.69995
2987,141.21,21.2588,68.3964,273,0.09139605,4826.666,21.152891,13.730599,14.4291935,0,634.4
237,11,19.8312,76.7932,13,0.05485232,4845.68,21.545454,7.305,5.4852324,0,634.19995
6639,304.73,26.8414,100,505,0.076065674,5339.391,21.786499,8.423,58.081036,0,634.1
5079,224.5,25.5593,63.8036,585,0.11518016,5228.651,22.623608,11.116,16.617445,0,634.1
4340,209.84,17.7026,93.9227,284,0.06543779,5181.5796,20.682425,14.601625,31.198156,0,634.05005
3017,138.5,14.9768,56.0636,496,0.16440172,4675.675,21.783394,11.081,17.003647,0,633.65
3129,147.98,26.1676,55.7901,471,0.15052733,5125.433,21.14475,15.592857,16.714605,0,646.5
5138,290.775,58.7522,84.999,560,0.108991824,5606.7817,17.670021,10.9056425,32.98949,0,633.05
723,37.12,25.9211,83.1579,45,0.062240664,4692.4937,19.477371,8.279,36.929462,0,632.95
2807,126.12,15.4595,52.3964,152,0.05415034,4353.0195,22.25658,12.997,33.48771,0,632.44995
2253,112.65,43.4976,84.5539,196,0.08699512,5526.237,20,8.865,33.288948,0,632.25
5804,283.15,28.3425,81.1165,480,0.082701586,5367.9883,20.49797,14.184,34.700207,0,632.2
2404,105,20.9274,52.9435,202,0.08402662,4838.1753,22.895239,13.762,18.261232,0,632
1600,74.5,27.2614,79.7255,242,0.15125,4720.0864,21.476511,10.472,35.25,0,631.4
8935,444.5,36.9451,79.512,786,0.08796866,5016.6924,20.101238,14.062,44.08506,0,631.05005
7210,360.35,26.6268,68.8579,800,0.110957004,5158.792,20.008326,10.098,15.18724,0,647.05
1235,53,8.2183,62.1302,175,0.1417004,4359.521,23.301888,7.332,30.2834,0,629.80005
2440,121.24,7.2759,47.0299,116,0.047540985,5467.674,20.125372,9.854,48.52459,0,645.75
1088,55,14.1544,86.0294,107,0.098345585,4136.251,19.781818,6.983,64.24632,0,634.9
2660,140.12,15.7601,74.851,259,0.09736842,5267.831,18.983728,14.4678,25.225565,0,634.94995
4612,232.97,17.4761,65.915,601,0.13031223,5124.8364,19.79654,12.827,16.652212,0,645.55005
6272,297.04,28.72,71.7624,1338,0.21332908,5252.8105,21.115002,10.264,53.890305,0,641.44995
2911,139.47,11.9285,52.9735,281,0.0965304,5220.37,20.871872,15.968,39.024387,0,641.1
6518,332.1,12.2791,71.0238,499,0.07655723,5172.0195,19.626617,14.242901,43.494938,0,640.75
775,37,24.9032,61.4194,50,0.06451613,5097.3433,20.945946,10.523,0.9032258,0,656.7
205,11.2,18.5366,80.9756,24,0.11707317,4895.4395,18.303572,8.258,41.463413,0,640.1
3401,175.55,52.2199,74.2723,560,0.16465746,5489.589,19.373398,11.266125,16.171715,0,639.8
7114,332.84,34.5942,82.5722,680,0.095586166,4925.6597,21.373632,10.239667,45.037952,0,643.4
4501,227.85,19.1297,63.9055,597,0.13263719,5356.8335,19.754223,8.384,17.973783,0,639.35
4258,221,24.6595,92.7431,324,0.076092064,5092.9175,19.266968,10.0505,36.801315,0,628.75
1962,98,24.4151,67.7518,170,0.08664628,5204.6875,20.020409,9.485,18.195719,0,643.4
5112,246.9,10.6912,59.7235,383,0.07492175,5157.7847,20.704739,11.5692005,28.677622,0,638.35
500,22.43,18.8,83,70,0.14,5221.461,22.291573,10.264,39.399998,0,638.30005
3760,183.75,26.9016,65.7961,717,0.19069149,5324.228,20.462585,9.665,36.48936,0,638.30005
499,20,23.6994,80.9249,35,0.07014028,4079.1292,24.95,10.098,5.01002,0,637
